name	value
Cognitrace	0
Neuroscan	1
Digitimer	2
SA Instrumentation	3
Biosemi	4
Grass	5
NeuroScience	6
Brain Products	7
Electrical Geodesics	8
ANT	9
TMSi	10
M&I	11
Emotiv	12
Coulbourn	13
Neuronic	14
Nihon Kohden	15
Psylab	16
