name	value
Waveguard (ANT)	0
Electrocap	1
Quickcap (Neuroscan)	2
Easycap standard caps	3
Aegis Array	4
Emotiv	5
BrainProducts	6
Biosemi	7
TMSi	8
Geodesic Sensor Net	9
other	10
