name	value
Applied Science	0
Arrington Research	1
BioMed Jena	2
ISCAN	3
LC Technologies	4
Locarna Systems	5
Nihon-Kohden	6
SMI	7
SR Research	8
Sony	9
Takei Instruments	10
Tobii	11
other	12
