name	value
Eemagine	0
Neuroscan	1
InsEP	2
Biosemi	3
NetStation	4
Brain Vision Recorder	5
Emotiv	6
Brain Products	7
ActiView605-Lores	8
EEProbe	9
TMSi	10
BIOPAC	11
ANT-Neuro	12
other	13
