name	value
CLEAR VIEW	0
ChronoViz	1
DataViewer (SR Research Ltd.,Mississauga, ON, Canada)	2
EyeLink	3
Eyenal analysis software	4
FaceLab 5.0.5	5
Gaze Tracker software	6
Interact 8.50	7
Locarna Software	8
Matlab	9
SR Research DataViewer	10
SSiWeb	11
STATA	12
Tobii Studio	13
iViewX	14
z-Tree	15
custom-made	16
other	17
